MTR TC 총 184건

CD-FT-MTR-001 | 화면=소재주문등록 | 기능=사업자 | 결과= | 날짜=
CD-FT-MTR-100 | 화면=소재주문이력 | 기능=좌측_Excel 파일 다운로드 | 결과= | 날짜=
CD-FT-MTR-101 | 화면=소재주문이력 | 기능=주문서출력 | 결과= | 날짜=
CD-FT-MTR-102 | 화면=소재주문이력 | 기능=주문취소 | 결과= | 날짜=
CD-FT-MTR-103 | 화면=소재주문이력 | 기능=좌측_전체조회건수 | 결과= | 날짜=
CD-FT-MTR-104 | 화면=소재주문이력 | 기능=우측 Grid 입고검사 | 결과= | 날짜=
CD-FT-MTR-105 | 화면=소재주문이력 | 기능=금액정보 | 결과= | 날짜=
CD-FT-MTR-106 | 화면=소재주문이력 | 기능=매입금액_금액 | 결과= | 날짜=
CD-FT-MTR-107 | 화면=소재주문이력 | 기능=매입금액_단가 | 결과= | 날짜=
CD-FT-MTR-108 | 화면=소재주문이력 | 기능=매입금액_비고 | 결과= | 날짜=
CD-FT-MTR-109 | 화면=소재주문이력 | 기능=자동계산소재비 | 결과= | 날짜=
CD-FT-MTR-110 | 화면=소재주문이력 | 기능=우측_Excel 파일 다운로드 | 결과= | 날짜=
CD-FT-MTR-111 | 화면=소재주문이력 | 기능=검사입고 | 결과= | 날짜=
CD-FT-MTR-112 | 화면=소재주문이력 | 기능=입고취소 | 결과= | 날짜=
CD-FT-MTR-113 | 화면=소재주문이력 | 기능=SAVE | 결과= | 날짜=
CD-FT-MTR-114 | 화면=소재주문이력 | 기능=수입검사_소재 | 결과= | 날짜=
CD-FT-MTR-115 | 화면=소재주문이력 | 기능=수입검사_외관 | 결과= | 날짜=
CD-FT-MTR-116 | 화면=소재주문이력 | 기능=수입검사_치수 | 결과= | 날짜=
CD-FT-MTR-117 | 화면=소재주문이력 | 기능=입고 | 결과= | 날짜=
CD-FT-MTR-118 | 화면=소재주문이력 | 기능=입고일시 | 결과= | 날짜=
CD-FT-MTR-119 | 화면=소재주문이력 | 기능=검사비고 | 결과= | 날짜=
CD-FT-MTR-120 | 화면=소재주문이력 | 기능=작업상세정보 | 결과= | 날짜=
CD-FT-MTR-121 | 화면=소재주문이력 | 기능=우측_전체조회건수 | 결과= | 날짜=
CD-FT-MTR-122 | 화면=보유소재관리 | 기능=창고 | 결과= | 날짜=
CD-FT-MTR-123 | 화면=보유소재관리 | 기능=위치 | 결과= | 날짜=
CD-FT-MTR-124 | 화면=보유소재관리 | 기능=소재종류 | 결과= | 날짜=
CD-FT-MTR-125 | 화면=보유소재관리 | 기능=소재형태 | 결과= | 날짜=
CD-FT-MTR-126 | 화면=보유소재관리 | 기능=규격 | 결과= | 날짜=
CD-FT-MTR-127 | 화면=보유소재관리 | 기능=W | 결과= | 날짜=
CD-FT-MTR-128 | 화면=보유소재관리 | 기능=H | 결과= | 날짜=
CD-FT-MTR-129 | 화면=보유소재관리 | 기능=T | 결과= | 날짜=
CD-FT-MTR-130 | 화면=보유소재관리 | 기능=D | 결과= | 날짜=
CD-FT-MTR-131 | 화면=보유소재관리 | 기능=L | 결과= | 날짜=
CD-FT-MTR-132 | 화면=보유소재관리 | 기능=검색 | 결과= | 날짜=
CD-FT-MTR-133 | 화면=보유소재관리 | 기능=현황관리 | 결과= | 날짜=
CD-FT-MTR-134 | 화면=보유소재관리 | 기능=Enter Your Keyword | 결과= | 날짜=
CD-FT-MTR-135 | 화면=보유소재관리 | 기능=All Fields | 결과= | 날짜=
CD-FT-MTR-136 | 화면=보유소재관리 | 기능=Contains | 결과= | 날짜=
CD-FT-MTR-137 | 화면=보유소재관리 | 기능=Fix | 결과= | 날짜=
CD-FT-MTR-138 | 화면=보유소재관리 | 기능=소재불출(바코드) | 결과= | 날짜=
CD-FT-MTR-139 | 화면=보유소재관리 | 기능=위치정보관리 | 결과= | 날짜=
CD-FT-MTR-140 | 화면=보유소재관리 | 기능=추가 | 결과= | 날짜=
CD-FT-MTR-141 | 화면=보유소재관리 | 기능=삭제 | 결과= | 날짜=
CD-FT-MTR-142 | 화면=보유소재관리 | 기능=저장 | 결과= | 날짜=
CD-FT-MTR-143 | 화면=보유소재관리 | 기능=<창고명> | 결과= | 날짜=
CD-FT-MTR-144 | 화면=보유소재관리 | 기능=<상세위치> | 결과= | 날짜=
CD-FT-MTR-145 | 화면=보유소재관리 | 기능=<형태> | 결과= | 날짜=
CD-FT-MTR-146 | 화면=보유소재관리 | 기능=<소재종류> | 결과= | 날짜=
CD-FT-MTR-147 | 화면=보유소재관리 | 기능=<규격> | 결과= | 날짜=
CD-FT-MTR-148 | 화면=보유소재관리 | 기능=<비고> | 결과= | 날짜=
CD-FT-MTR-149 | 화면=보유소재관리 | 기능=<입고> | 결과= | 날짜=
CD-FT-MTR-150 | 화면=보유소재관리 | 기능=불출 | 결과= | 날짜=
CD-FT-MTR-151 | 화면=보유소재관리 | 기능=현황관리_전체조회건수_상 | 결과= | 날짜=
CD-FT-MTR-152 | 화면=보유소재관리 | 기능=현황관리_전체조회건수_하 | 결과= | 날짜=
CD-FT-MTR-153 | 화면=보유소재관리 | 기능=수불이력 | 결과= | 날짜=
CD-FT-MTR-154 | 화면=보유소재관리 | 기능=Enter Your Keyword | 결과= | 날짜=
